ID,cluster_id,valid,team_list,author_list,goal_list
1,cluster0,F,"[""team65"",""team223""]","[""ID068116"",""ID068117"",""ID081320"",""ID069529"",""ID068118"",""ID048621"",""ID081321"",""ID017626"",""ID059643"",""ID080649"",""ID080648"",""ID041005"",""ID059643""]","[""D1""]"
2,cluster1,T,"[""team3377"",""team262""]","[""ID045319"",""ID094538"",""ID077704"",""ID077727"",""ID077706"",""ID077726"",""ID077705"",""ID023395"",""ID062327"",""ID062326"",""ID062325"",""ID023355"",""ID054593"",""ID023395""]","[""D1"",""A2""]"
3,cluster10,T,"[""team2036"",""team2037"",""team2038""]","[""ID024327"",""ID063537"",""ID012976"",""ID009851"",""ID021458"",""ID024327"",""ID026290"",""ID025133"",""ID049169"",""ID012287"",""ID024327"",""ID063537"",""ID054780"",""ID026290""]","[""B2"",""F3""]"
4,cluster100,F,"[""team3267"",""team3740""]","[""ID057146"",""ID011857"",""ID050830"",""ID034731"",""ID003476"",""ID013503"",""ID032502"",""ID033319"",""ID067636"",""ID034510"",""ID034731"",""ID010229""]","[""D4""]"
5,cluster101,F,"[""team455"",""team456""]","[""ID021248"",""ID064655"",""ID005128"",""ID017937"",""ID064654"",""ID006609"",""ID064725"",""ID030302"",""ID078305"",""ID078304"",""ID078307"",""ID064725"",""ID078306"",""ID078308""]","[""A1""]"
6,cluster102,T,"[""team1327"",""team673"",""team2567"",""team1906""]","[""ID074890"",""ID074888"",""ID012599"",""ID023829"",""ID013463"",""ID031504"",""ID074889"",""ID075552"",""ID073787"",""ID031504"",""ID075554"",""ID075100"",""ID075553"",""ID074706"",""ID074708"",""ID074705"",""ID004479"",""ID074707"",""ID023829"",""ID073424"",""ID073787"",""ID073788"",""ID073425""]","[""D1"",""A2""]"
7,cluster103,F,"[""team807"",""team806""]","[""ID031504"",""ID093932"",""ID075092"",""ID075093"",""ID075091"",""ID093932"",""ID075095"",""ID075092"",""ID075094""]","[""A2""]"
8,cluster104,F,"[""team677"",""team676"",""team930""]","[""ID084510"",""ID084484"",""ID084564"",""ID084373"",""ID084509"",""ID084372"",""ID084483"",""ID084563"",""ID089814"",""ID084372"",""ID084429"",""ID084431"",""ID084373"",""ID084432"",""ID088908"",""ID084483"",""ID088910"",""ID088909"",""ID088907""]","[""A2""]"
9,cluster105,F,"[""team75"",""team1312""]","[""ID086862"",""ID053333"",""ID049680"",""ID032549"",""ID064166"",""ID086868"",""ID088710"",""ID066931"",""ID021848"",""ID064167"",""ID096691"",""ID039945"",""ID037902"",""ID064983"",""ID064971"",""ID064969"",""ID086864"",""ID040546"",""ID086863"",""ID064984"",""ID065898"",""ID086861"",""ID088711"",""ID053541"",""ID040405"",""ID004573"",""ID066932"",""ID090627"",""ID086860"",""ID086867"",""ID065586"",""ID021099"",""ID063053"",""ID068674"",""ID090628"",""ID005734"",""ID086859"",""ID086866"",""ID065572"",""ID090629"",""ID086865"",""ID009733"",""ID064167"",""ID032549"",""ID078207"",""ID078208""]","[""A3""]"
10,cluster106,T,"[""team2853"",""team1822""]","[""ID066962"",""ID007389"",""ID059091"",""ID096342"",""ID086750"",""ID096341"",""ID057211"",""ID069014"",""ID059091"",""ID047246""]","[""F1"",""A1""]"
11,cluster107,F,"[""team705"",""team1609"",""team1511"",""team2123"",""team3479""]","[""ID075653"",""ID075649"",""ID075897"",""ID075651"",""ID075648"",""ID017062"",""ID075647"",""ID075896"",""ID075650"",""ID075785"",""ID075652"",""ID006181"",""ID048758"",""ID052914"",""ID007851"",""ID006736"",""ID075789"",""ID017062"",""ID076702"",""ID040320"",""ID048758"",""ID075188"",""ID075160"",""ID005298"",""ID075159"",""ID075161"",""ID048758"",""ID094082"",""ID094035"",""ID094033"",""ID048758"",""ID094034"",""ID074955"",""ID019789"",""ID048758"",""ID074954""]","[""C1""]"
12,cluster108,T,"[""team25"",""team4121"",""team504"",""team32"",""team2367"",""team765""]","[""ID089874"",""ID086773"",""ID084409"",""ID086777"",""ID088662"",""ID089804"",""ID089875"",""ID084409"",""ID087877"",""ID086777"",""ID087874"",""ID084409"",""ID084408"",""ID086857"",""ID085953"",""ID084409"",""ID092416"",""ID092415"",""ID092417"",""ID087975"",""ID087974"",""ID087874"",""ID087976"",""ID090262"",""ID086771"",""ID086773"",""ID086769""]","[""B1"",""A3""]"
13,cluster109,F,"[""team756"",""team755""]","[""ID029819"",""ID008966"",""ID022364"",""ID002512"",""ID025180"",""ID072480"",""ID029819"",""ID072481"",""ID055433""]","[""F3""]"
14,cluster11,F,"[""team315"",""team2756""]","[""ID075642"",""ID075738"",""ID074967"",""ID075941"",""ID075739"",""ID039609"",""ID075737"",""ID075762"",""ID074968"",""ID075643"",""ID075313"",""ID075312"",""ID074968"",""ID039609""]","[""A1""]"
15,cluster110,F,"[""team2744"",""team3536""]","[""ID060580"",""ID039682"",""ID060578"",""ID060579"",""ID084761"",""ID060578"",""ID065423"",""ID084762"",""ID084763""]","[""A1""]"
16,cluster111,T,"[""team2596"",""team3788"",""team2316""]","[""ID045101"",""ID023597"",""ID072243"",""ID049104"",""ID058962"",""ID045101"",""ID074723"",""ID006804"",""ID009614"",""ID074850"",""ID000060"",""ID074722"",""ID093789"",""ID093788"",""ID000060"",""ID074723""]","[""E2"",""G4""]"
17,cluster112,F,"[""team46"",""team45""]","[""ID061217"",""ID014797"",""ID041714"",""ID001382"",""ID046783"",""ID061217"",""ID093066"",""ID072185"",""ID093067""]","[""A1""]"
18,cluster113,T,"[""team119"",""team2583""]","[""ID082981"",""ID077186"",""ID077187"",""ID076784"",""ID082459"",""ID082461"",""ID077186"",""ID082460""]","[""A1"",""E1""]"
19,cluster114,T,"[""team1697"",""team3540"",""team4213"",""team3812""]","[""ID031826"",""ID032878"",""ID079860"",""ID082984"",""ID095640"",""ID046367"",""ID079883"",""ID079897"",""ID079861"",""ID003623"",""ID031209"",""ID007728"",""ID039486"",""ID082590"",""ID082485"",""ID003623"",""ID058927"",""ID004902"",""ID068649"",""ID037253"",""ID003623"",""ID039486"",""ID068421"",""ID033474"",""ID003623""]","[""B1"",""A1""]"
20,cluster115,F,"[""team2561"",""team510""]","[""ID060597"",""ID060600"",""ID000307"",""ID017075"",""ID060598"",""ID060601"",""ID060599"",""ID011727"",""ID012433"",""ID000307"",""ID046858"",""ID037850"",""ID007189"",""ID071039""]","[""D1""]"
21,cluster116,F,"[""team2230"",""team1644""]","[""ID069804"",""ID069805"",""ID069803"",""ID069801"",""ID069800"",""ID069802"",""ID069800"",""ID069799"",""ID069801""]","[""""]"
22,cluster117,F,"[""team1459"",""team1309""]","[""ID001245"",""ID069017"",""ID039239"",""ID046015"",""ID042548"",""ID049854"",""ID045673"",""ID042548"",""ID044473""]","[""B1""]"
23,cluster118,T,"[""team1232"",""team1547"",""team1546"",""team2007""]","[""ID045305"",""ID074308"",""ID039493"",""ID074277"",""ID048695"",""ID074275"",""ID074276"",""ID045305"",""ID048695"",""ID074312"",""ID031317"",""ID074299"",""ID018911"",""ID045305"",""ID074275"",""ID074442"",""ID074443"",""ID074444"",""ID039493"",""ID008627"",""ID038571"",""ID060903"",""ID060904""]","[""E2"",""B3""]"
24,cluster119,F,"[""team1947"",""team2871""]","[""ID088323"",""ID001223"",""ID022361"",""ID088322"",""ID001223"",""ID062451"",""ID061467"",""ID055624""]","[""B3""]"
25,cluster12,T,"[""team1601"",""team1081"",""team4114""]","[""ID074391"",""ID067833"",""ID072822"",""ID093625"",""ID074448"",""ID074447"",""ID065301"",""ID094551"",""ID043598"",""ID067833"",""ID012839"",""ID007518"",""ID065301"",""ID016014""]","[""E2"",""B2""]"
